id,transdate,description,amount,category,accountname,
1611,28-Apr-09,,-37.54,Gas & Fuel,CAD CHECKING,
1612,28-Apr-09,,-43.49,Groceries,CAD CHECKING,
1613,28-Apr-09,,-106.95,Clothing,CAD CHECKING,
1614,29-Apr-09,,373.06,Travel,CAD CHECKING,
1615,2-May-09,,9.8,Interest Income,CAD TFSA,
1616,3-May-09,,-7.22,Fast Food,CAD CHECKING,
1617,3-May-09,,-31.7,Groceries,CAD CHECKING,
1618,3-May-09,,-7.81,Fast Food,CAD CHECKING,
1619,4-May-09,,-8.31,Groceries,CAD CHECKING,
1620,4-May-09,,-15,Alcohol & Bars,CAD CHECKING,
1621,7-May-09,,-42.5,Personal Care,CAD CHECKING,
1622,8-May-09,,-5.85,Fast Food,CAD CHECKING,
1623,9-May-09,,-5.72,Coffee Shops,CAD CHECKING,
1624,9-May-09,,-5.07,Fast Food,CAD CHECKING,
1625,10-May-09,,-19.81,Fast Food,CAD CHECKING,
1626,10-May-09,,-8.12,Fast Food,CAD CHECKING,
1627,11-May-09,,-14.73,Transportation,CAD CREDIT CARD,
1628,11-May-09,,-31.2,Groceries,CAD CHECKING,
1629,11-May-09,,-82.52,Utilities,CAD CHECKING,
1630,12-May-09,,-22,Restaurants,CAD CREDIT CARD,
1631,13-May-09,,-8.81,Personal Care,CAD CHECKING,
1632,13-May-09,,-16.3,Entertainment,CAD CHECKING,
1633,13-May-09,,-23.04,Gas & Fuel,CAD CHECKING,
1634,15-May-09,,-1.13,Electronics & Software,CAD CREDIT CARD,
1635,15-May-09,,-11.23,Coffee Shops,CAD CHECKING,
1636,15-May-09,,-6.38,Coffee Shops,CAD CHECKING,
1637,15-May-09,,-23.13,Alcohol & Bars,CAD CHECKING,
1638,15-May-09,,-33,Fast Food,CAD CHECKING,
1639,15-May-09,,-8.56,Fast Food,CAD CHECKING,
1640,16-May-09,,-6.37,Fast Food,CAD CHECKING,
1641,17-May-09,,-2.94,Groceries,CAD CHECKING,
1642,17-May-09,,-9,Fast Food,CAD CHECKING,
1643,18-May-09,,-22.26,Groceries,CAD CHECKING,
1644,18-May-09,,-40.75,Utilities,CAD CHECKING,
1645,18-May-09,,-3,Fast Food,CAD CHECKING,
1646,18-May-09,,-10.19,Licenses,CAD CHECKING,
1647,18-May-09,,-12.7,Misc Expenses,CAD CHECKING,
1648,19-May-09,,-6.93,Fast Food,CAD CHECKING,
1649,19-May-09,,-3.71,Fast Food,CAD CHECKING,
1650,20-May-09,,-7.2,Coffee Shops,CAD CHECKING,
1651,22-May-09,,-15.61,Alcohol & Bars,CAD CHECKING,
1652,22-May-09,,414,Gift Received,CAD CHECKING,
1653,22-May-09,,-9.35,Fast Food,CAD CHECKING,
1654,23-May-09,,-2.03,Groceries,CAD CHECKING,
1655,23-May-09,,-1567,Auto Insurance,CAD CHECKING,
1656,23-May-09,,668.79,Credit Card Payment,CAD CREDIT CARD,
1657,23-May-09,,-8.28,Fast Food,CAD CHECKING,
1658,24-May-09,,-982.55,Credit Card Payment,CAD CHECKING,
1659,25-May-09,,-4.04,Fast Food,CAD CHECKING,
1660,25-May-09,,-4.02,Fast Food,CAD CHECKING,
1661,25-May-09,,-41.5,Groceries,CAD CHECKING,
1662,26-May-09,,-10.69,Fast Food,CAD CHECKING,
1663,26-May-09,,-9.56,Fast Food,CAD CHECKING,
1664,26-May-09,,-21,Restaurants,CAD CHECKING,
1665,27-May-09,,-12.87,Groceries,CAD CHECKING,
1666,28-May-09,,-15.51,Alcohol & Bars,CAD CHECKING,
1667,28-May-09,,-22.2,Restaurants,CAD CHECKING,
1668,28-May-09,,-14.27,Groceries,CAD CHECKING,
1669,28-May-09,,-12.37,Groceries,CAD CHECKING,
1670,29-May-09,,-18.59,Restaurants,CAD CHECKING,
1671,29-May-09,,8.26,Interest Income,CAD TFSA,
1672,29-May-09,,-9.24,Restaurants,CAD CHECKING,
1673,30-May-09,,-7,Transportation,CAD CREDIT CARD,
1674,30-May-09,,-14.82,Restaurants,CAD CHECKING,
1675,30-May-09,,-29.67,Entertainment,CAD CHECKING,
1676,30-May-09,,-7.36,Fast Food,CAD CHECKING,
1677,30-May-09,,-75.13,Groceries,CAD CHECKING,
1678,30-May-09,,-19.38,Hair,CAD CHECKING,
1679,31-May-09,,-40,Gas & Fuel,CAD CHECKING,
1680,31-May-09,,-10.8,Coffee Shops,CAD CHECKING,
1681,31-May-09,,-2.4,Fast Food,CAD CHECKING,
1682,1-Jun-09,,-5.14,Furnishings,CAD CHECKING,
1683,1-Jun-09,,-3.05,Fast Food,CAD CHECKING,
1684,2-Jun-09,,-3.82,Fast Food,CAD CHECKING,
1685,3-Jun-09,,-10.05,Transportation,CAD CREDIT CARD,
1686,4-Jun-09,,-9.29,Fast Food,CAD CHECKING,
1687,4-Jun-09,,-9.76,Entertainment,CAD CHECKING,
1688,5-Jun-09,,-9.89,Fast Food,CAD CHECKING,
1689,5-Jun-09,,-19.57,Personal Care,CAD CHECKING,
1690,5-Jun-09,,-3.1,Fast Food,CAD CHECKING,
1691,5-Jun-09,,-6.66,Fast Food,CAD CHECKING,
1692,6-Jun-09,,-36.03,Alcohol & Bars,CAD CHECKING,
1693,6-Jun-09,,-9.36,Fast Food,CAD CHECKING,
1694,6-Jun-09,,-1.59,Fast Food,CAD CHECKING,
1695,6-Jun-09,,-19.86,Gas & Fuel,CAD CHECKING,
1696,6-Jun-09,,-4.28,Fast Food,CAD CHECKING,
1697,6-Jun-09,,-8.5,Coffee Shops,CAD CHECKING,
1698,7-Jun-09,,-4.83,Fast Food,CAD CHECKING,
1699,7-Jun-09,,-17.37,Groceries,CAD CHECKING,
1700,8-Jun-09,,-4.93,Fast Food,CAD CHECKING,
1701,8-Jun-09,,-8.48,Coffee Shops,CAD CHECKING,
1702,8-Jun-09,,-13.86,Restaurants,CAD CHECKING,
1703,9-Jun-09,,-12.98,Restaurants,CAD CHECKING,
1704,9-Jun-09,,-5.15,Groceries,CAD CHECKING,
1705,11-Jun-09,,-9.62,Restaurants,CAD CHECKING,
1706,11-Jun-09,,-6.62,Groceries,CAD CHECKING,
1707,11-Jun-09,,-13.3,Fast Food,CAD CHECKING,
1708,12-Jun-09,,-4.91,Fast Food,CAD CHECKING,
1709,14-Jun-09,,-7.26,Fast Food,CAD CHECKING,
1710,15-Jun-09,,-6.1,Fast Food,CAD CHECKING,
1711,15-Jun-09,,-11.49,Coffee Shops,CAD CHECKING,
1712,15-Jun-09,,-29,Parking,CAD CREDIT CARD,
1713,16-Jun-09,,-129.4,Groceries,CAD CHECKING,
1714,16-Jun-09,,321,Gift Received,CAD CHECKING,
1715,17-Jun-09,,-17.73,Gas & Fuel,CAD CHECKING,
1716,18-Jun-09,,-4.9,Fast Food,CAD CHECKING,
1717,18-Jun-09,,-16,Entertainment,CAD CHECKING,
1718,18-Jun-09,,-8.8,Entertainment,CAD CHECKING,
1719,19-Jun-09,,-26.3,Gift,CAD CHECKING,
1720,20-Jun-09,,-97,Restaurants,CAD CHECKING,
1721,20-Jun-09,,-3.77,Fast Food,CAD CHECKING,
1722,21-Jun-09,,-31.48,Alcohol & Bars,CAD CHECKING,
1723,21-Jun-09,,541.11,Mortgage & Rent,CAD CHECKING,
1724,21-Jun-09,,-12.26,Electronics & Software,CAD CREDIT CARD,
1725,21-Jun-09,,-218.3,Utilities,CAD CHECKING,
1726,21-Jun-09,,-0.6,Bank Fee,CAD CREDIT CARD,
1727,22-Jun-09,,-52.53,Restaurants,CAD CHECKING,
1728,23-Jun-09,,-20.61,Groceries,CAD CHECKING,
1729,24-Jun-09,,-6,Entertainment,CAD CHECKING,
1730,24-Jun-09,,-7.7,Entertainment,CAD CHECKING,
1731,24-Jun-09,,-48.04,Credit Card Payment,CAD CHECKING,
1732,24-Jun-09,,-38.9,Entertainment,CAD CHECKING,
1733,25-Jun-09,,-13.53,Fast Food,CAD CHECKING,
1734,25-Jun-09,,-5.95,Fast Food,CAD CHECKING,
1735,26-Jun-09,,-8.38,Coffee Shops,CAD CHECKING,
1736,26-Jun-09,,-25.6,Groceries,CAD CHECKING,
1737,26-Jun-09,,-4.51,Fast Food,CAD CHECKING,
1738,27-Jun-09,,45.99,Credit Card Payment,CAD CREDIT CARD,
1739,27-Jun-09,,-81.43,Groceries,CAD CHECKING,
1740,28-Jun-09,,-3.66,Entertainment,CAD CHECKING,
1741,29-Jun-09,,-38.1,Clothing,CAD CHECKING,
1742,30-Jun-09,,470.4,Mortgage & Rent,CAD CHECKING,
1743,30-Jun-09,,7.71,Interest Income,CAD TFSA,
1744,30-Jun-09,,-5.34,Groceries,CAD CHECKING,
1745,2-Jul-09,,-9.35,Coffee Shops,CAD CHECKING,
1746,2-Jul-09,,-22.18,Gas & Fuel,CAD CHECKING,
1747,2-Jul-09,,-88.96,Groceries,CAD CHECKING,
1748,2-Jul-09,,-5.61,Groceries,CAD CHECKING,
1749,3-Jul-09,,-2.44,Fast Food,CAD CHECKING,
1750,3-Jul-09,,146.56,Taxes,CAD CHECKING,
1751,4-Jul-09,,-49,Alcohol & Bars,CAD CHECKING,
1752,4-Jul-09,,-8.67,Fast Food,CAD CHECKING,
1753,5-Jul-09,,-13.27,Transportation,CAD CREDIT CARD,
1754,5-Jul-09,,-11.26,Transportation,CAD CREDIT CARD,
1755,5-Jul-09,,-21.77,Restaurants,CAD CHECKING,
1756,7-Jul-09,,-52.77,Groceries,CAD CHECKING,
1757,7-Jul-09,,-21.05,Personal Care,CAD CHECKING,
1758,8-Jul-09,,-2.49,Groceries,CAD CHECKING,
1759,8-Jul-09,,-9.13,Alcohol & Bars,CAD CHECKING,
1760,8-Jul-09,,-37,Alcohol & Bars,CAD CHECKING,
1761,10-Jul-09,,-4.12,Fast Food,CAD CHECKING,
1762,10-Jul-09,,-11.87,Fast Food,CAD CHECKING,
1763,10-Jul-09,,-40.71,Gas & Fuel,CAD CHECKING,
1764,12-Jul-09,,-54.88,Groceries,CAD CHECKING,
1765,12-Jul-09,,-5.28,Coffee Shops,CAD CHECKING,
1766,13-Jul-09,,-28.08,Groceries,CAD CHECKING,
1767,14-Jul-09,,-19.96,Groceries,CAD CHECKING,
1768,14-Jul-09,,822.5,Transfer,CAD CHECKING,
1769,14-Jul-09,,-3.32,Fast Food,CAD CHECKING,
1770,14-Jul-09,,-28.93,Personal Care,CAD CHECKING,
1771,15-Jul-09,,-1.28,Fast Food,CAD CHECKING,
1772,15-Jul-09,,-12.9,Coffee Shops,CAD CHECKING,
1773,16-Jul-09,,-9.45,Fast Food,CAD CHECKING,
1774,16-Jul-09,,-10.33,Fast Food,CAD CHECKING,
1775,16-Jul-09,,-11,Misc Expenses,CAD CHECKING,
1776,16-Jul-09,,-61,Utilities,CAD CHECKING,
1777,16-Jul-09,,-121.71,Credit Card Payment,CAD CHECKING,
1778,16-Jul-09,,-5.21,Groceries,CAD CHECKING,
1779,17-Jul-09,,79.19,Credit Card Payment,CAD CREDIT CARD,
1780,17-Jul-09,,-26.36,Restaurants,CAD CHECKING,
1781,17-Jul-09,,-9,Restaurants,CAD CHECKING,
1782,18-Jul-09,,-16.5,Alcohol & Bars,CAD CHECKING,
1783,19-Jul-09,,-91.5,Transportation,CAD CREDIT CARD,
1784,19-Jul-09,,-57.4,Transportation,CAD CREDIT CARD,
1785,19-Jul-09,,-1.99,Fast Food,CAD CHECKING,
1786,19-Jul-09,,-7.9,Fast Food,CAD CHECKING,
1787,20-Jul-09,,-38.03,Gas & Fuel,CAD CHECKING,
1788,20-Jul-09,,-6.05,Coffee Shops,CAD CHECKING,
1789,20-Jul-09,,-9.4,Coffee Shops,CAD CHECKING,
1790,20-Jul-09,,-3.25,Fast Food,CAD CHECKING,
1791,21-Jul-09,,243,Gift Received,CAD CHECKING,
1792,21-Jul-09,,-6.34,Fast Food,CAD CHECKING,
1793,21-Jul-09,,-12.9,Transportation,CAD CREDIT CARD,
1794,21-Jul-09,,-26.33,Transportation,CAD CREDIT CARD,
1795,21-Jul-09,,-22.07,Alcohol & Bars,CAD CHECKING,
1796,22-Jul-09,,-6.8,Coffee Shops,CAD CHECKING,
1797,22-Jul-09,,-11.1,Coffee Shops,CAD CHECKING,
1798,22-Jul-09,,-10.9,Coffee Shops,CAD CHECKING,
1799,22-Jul-09,,-16,Restaurants,CAD CREDIT CARD,
1800,23-Jul-09,,-32.09,Groceries,CAD CHECKING,
1801,23-Jul-09,,-70.39,Utilities,CAD CHECKING,
1802,23-Jul-09,,-9.45,Personal Care,CAD CHECKING,
1803,25-Jul-09,,-6,Coffee Shops,CAD CHECKING,
1804,25-Jul-09,,-12.11,Restaurants,CAD CHECKING,
1805,25-Jul-09,,-39,Restaurants,CAD CREDIT CARD,
1806,26-Jul-09,,-51.69,Groceries,CAD CHECKING,
1807,26-Jul-09,,-4.51,Fast Food,CAD CHECKING,
1808,27-Jul-09,,-27.7,Groceries,CAD CHECKING,
1809,27-Jul-09,,-5.75,Coffee Shops,CAD CHECKING,
1810,27-Jul-09,,-2.4,Fast Food,CAD CHECKING,
1811,27-Jul-09,,-3.2,Misc Expenses,CAD CHECKING,
1812,27-Jul-09,,-17.75,Personal Care,CAD CHECKING,
1813,28-Jul-09,,1740,Transfer,CAD CHECKING,
1814,28-Jul-09,,-18.42,Gas & Fuel,CAD CHECKING,
1815,28-Jul-09,,-2360,Transfer,CAD TFSA,
1816,28-Jul-09,,-11,Parking,CAD CREDIT CARD,
1817,29-Jul-09,,-6.51,Coffee Shops,CAD CHECKING,
1818,29-Jul-09,,-4.15,Fast Food,CAD CHECKING,
1819,29-Jul-09,,-108.41,Personal Care,CAD CHECKING,
1820,30-Jul-09,,-5.38,Fast Food,CAD CHECKING,
1821,30-Jul-09,,-9.17,Fast Food,CAD CHECKING,
1822,31-Jul-09,,3.35,Interest Income,CAD TFSA,
1823,31-Jul-09,,-21.26,Misc Expenses,CAD CREDIT CARD,
1824,31-Jul-09,,-22.96,Alcohol & Bars,CAD CHECKING,
1825,31-Jul-09,,-29.97,Restaurants,CAD CHECKING,
1826,1-Aug-09,,-8.2,Coffee Shops,CAD CHECKING,
1827,1-Aug-09,,-4.56,Fast Food,CAD CHECKING,
1828,1-Aug-09,,-26.03,Groceries,CAD CHECKING,
1829,2-Aug-09,,-23.32,Groceries,CAD CHECKING,
1830,3-Aug-09,,-2.94,Groceries,CAD CHECKING,
1831,3-Aug-09,,-1.2,Fast Food,CAD CHECKING,
1832,4-Aug-09,,-1.04,Fast Food,CAD CHECKING,
1833,4-Aug-09,,-1008,Mortgage & Rent,CAD CHECKING,
1834,5-Aug-09,,723.9,Paycheck,CAD CHECKING,
1835,6-Aug-09,,-6.8,Coffee Shops,CAD CHECKING,
1836,6-Aug-09,,-4.64,Fast Food,CAD CHECKING,
1837,6-Aug-09,,-37.51,Groceries,CAD CHECKING,
1838,7-Aug-09,,-11,Coffee Shops,CAD CHECKING,
1839,7-Aug-09,,-10.54,Groceries,CAD CHECKING,
1840,7-Aug-09,,-35,Alcohol & Bars,CAD CREDIT CARD,
1841,8-Aug-09,,-19.84,Coffee Shops,CAD CHECKING,
1842,8-Aug-09,,-5.7,Coffee Shops,CAD CHECKING,
1843,9-Aug-09,,-9.85,Coffee Shops,CAD CHECKING,
1844,10-Aug-09,,-10.66,Coffee Shops,CAD CHECKING,
1845,10-Aug-09,,-47.42,Groceries,CAD CHECKING,
1846,10-Aug-09,,-4.47,Fast Food,CAD CHECKING,
1847,11-Aug-09,,-8.9,Coffee Shops,CAD CHECKING,
1848,12-Aug-09,,-9.41,Fast Food,CAD CHECKING,
1849,12-Aug-09,,-7.26,Restaurants,CAD CHECKING,
1850,12-Aug-09,,-3.57,Fast Food,CAD CHECKING,
1851,12-Aug-09,,-14.35,Alcohol & Bars,CAD CHECKING,
1852,13-Aug-09,,-5.41,Fast Food,CAD CHECKING,
1853,13-Aug-09,,-7.1,Coffee Shops,CAD CHECKING,
1854,13-Aug-09,,-221.47,Education,CAD CREDIT CARD,
1855,14-Aug-09,,-1.7,Fast Food,CAD CHECKING,
1856,14-Aug-09,,-27.27,Alcohol & Bars,CAD CHECKING,
1857,14-Aug-09,,-2.47,Fast Food,CAD CHECKING,
1858,15-Aug-09,,-4.52,Groceries,CAD CHECKING,
1859,15-Aug-09,,-43.1,Groceries,CAD CHECKING,
1860,16-Aug-09,,-7.35,Fast Food,CAD CHECKING,
1861,16-Aug-09,,-1.75,Fast Food,CAD CHECKING,
1862,16-Aug-09,,-5.61,Fast Food,CAD CHECKING,
1863,17-Aug-09,,-26.67,Gas & Fuel,CAD CHECKING,
1864,17-Aug-09,,-12.4,Coffee Shops,CAD CHECKING,
1865,18-Aug-09,,-5.4,Fast Food,CAD CHECKING,
1866,18-Aug-09,,-28.39,Restaurants,CAD CREDIT CARD,
1867,18-Aug-09,,-15.19,Groceries,CAD CHECKING,
1868,19-Aug-09,,195,Gift Received,CAD CHECKING,
1869,19-Aug-09,,-5.9,Coffee Shops,CAD CHECKING,
1870,19-Aug-09,,574.93,Paycheck,CAD CHECKING,
1871,19-Aug-09,,-4.6,Coffee Shops,CAD CHECKING,
1872,20-Aug-09,,-1.18,Fast Food,CAD CHECKING,
1873,20-Aug-09,,-9.8,Coffee Shops,CAD CHECKING,
1874,22-Aug-09,,-3.12,Fast Food,CAD CHECKING,
1875,22-Aug-09,,-4.25,Personal Care,CAD CHECKING,
1876,22-Aug-09,,-2.9,Groceries,CAD CHECKING,
1877,22-Aug-09,,-4.7,Coffee Shops,CAD CHECKING,
1878,23-Aug-09,,-12.4,Entertainment,CAD CHECKING,
1879,23-Aug-09,,-3.8,Fast Food,CAD CHECKING,
1880,23-Aug-09,,-2.37,Groceries,CAD CHECKING,
1881,23-Aug-09,,-51,Utilities,CAD CHECKING,
1882,23-Aug-09,,-44.75,Hair,CAD CHECKING,
1883,24-Aug-09,,-13,Education,CAD CHECKING,
1884,24-Aug-09,,-366.9,Entertainment,CAD CREDIT CARD,
1885,24-Aug-09,,-5.57,Fast Food,CAD CHECKING,
1886,24-Aug-09,,-6.11,Coffee Shops,CAD CHECKING,
1887,25-Aug-09,,-2.42,Groceries,CAD CHECKING,
1888,25-Aug-09,,-8.15,Fast Food,CAD CHECKING,
1889,25-Aug-09,,-65.73,Groceries,CAD CHECKING,
1890,25-Aug-09,,-8.67,Bank Fee,CAD CREDIT CARD,
1891,25-Aug-09,,-8.6,Coffee Shops,CAD CHECKING,
1892,25-Aug-09,,-1.21,Fast Food,CAD CHECKING,
1893,26-Aug-09,,-7.7,Coffee Shops,CAD CHECKING,
1894,27-Aug-09,,-5.44,Groceries,CAD CHECKING,
1895,27-Aug-09,,-17.03,Alcohol & Bars,CAD CHECKING,
1896,27-Aug-09,,1.66,Interest Income,CAD TFSA,
1897,28-Aug-09,,-1.18,Fast Food,CAD CHECKING,
1898,29-Aug-09,,-4.21,Groceries,CAD CHECKING,
1899,29-Aug-09,,-5.28,Fast Food,CAD CHECKING,
1900,29-Aug-09,,-45.78,Utilities,CAD CHECKING,
1901,30-Aug-09,,-1.57,Fast Food,CAD CHECKING,
1902,30-Aug-09,,-8.66,Groceries,CAD CHECKING,
1903,31-Aug-09,,-9.83,Fast Food,CAD CHECKING,
1904,31-Aug-09,,-7.53,Coffee Shops,CAD CHECKING,
1905,31-Aug-09,,-38.37,Groceries,CAD CHECKING,
1906,31-Aug-09,,-19.9,Gas & Fuel,CAD CHECKING,
1907,31-Aug-09,,-44.68,Personal Care,CAD CHECKING,
1908,31-Aug-09,,-3.76,Coffee Shops,CAD CHECKING,
1909,1-Sep-09,,-219.82,Credit Card Payment,CAD CHECKING,
1910,1-Sep-09,,-730.21,Utilities,CAD CHECKING,
1911,1-Sep-09,,-26.79,Alcohol & Bars,CAD CHECKING,
1912,1-Sep-09,,-8.8,Entertainment,CAD CHECKING,
1913,2-Sep-09,,213.88,Credit Card Payment,CAD CREDIT CARD,
1914,2-Sep-09,,-7.47,Fast Food,CAD CHECKING,
1915,2-Sep-09,,-31,Alcohol & Bars,CAD CHECKING,
1916,3-Sep-09,,-9,Coffee Shops,CAD CHECKING,
1917,3-Sep-09,,-27.06,Furnishings,CAD CHECKING,
1918,4-Sep-09,,-12.8,Coffee Shops,CAD CHECKING,
1919,4-Sep-09,,-6.05,Alcohol & Bars,CAD CHECKING,
1920,4-Sep-09,,-3.18,Fast Food,CAD CHECKING,
1921,4-Sep-09,,-2.72,Groceries,CAD CHECKING,
1922,5-Sep-09,,702.9,Paycheck,CAD CHECKING,
1923,5-Sep-09,,-1.95,Groceries,CAD CHECKING,
1924,5-Sep-09,,-7.07,Fast Food,CAD CHECKING,
1925,5-Sep-09,,-15.06,Fast Food,CAD CHECKING,
1926,5-Sep-09,,-8.5,Coffee Shops,CAD CHECKING,
1927,5-Sep-09,,-41.64,Groceries,CAD CHECKING,
1928,6-Sep-09,,-11.34,Restaurants,CAD CHECKING,
1929,7-Sep-09,,-7.2,Restaurants,CAD CHECKING,
1930,7-Sep-09,,-12,Coffee Shops,CAD CHECKING,
1931,7-Sep-09,,-7.85,Fast Food,CAD CHECKING,
1932,7-Sep-09,,-5.77,Coffee Shops,CAD CHECKING,
1933,8-Sep-09,,-13.9,Alcohol & Bars,CAD CHECKING,
1934,8-Sep-09,,-2.03,Groceries,CAD CHECKING,
1935,9-Sep-09,,-11.58,Coffee Shops,CAD CHECKING,
1936,9-Sep-09,,-7.05,Coffee Shops,CAD CHECKING,
1937,10-Sep-09,,-4,Groceries,CAD CHECKING,
1938,10-Sep-09,,-93.4,Clothing,CAD CHECKING,
1939,11-Sep-09,,-7.95,Groceries,CAD CHECKING,
1940,11-Sep-09,,-49.06,Gas & Fuel,CAD CHECKING,
1941,11-Sep-09,,-7.75,Personal Care,CAD CHECKING,
1942,12-Sep-09,,-3.94,Fast Food,CAD CHECKING,
1943,12-Sep-09,,-9.65,Groceries,CAD CHECKING,
1944,12-Sep-09,,-28.47,Groceries,CAD CHECKING,
1945,12-Sep-09,,-7.58,Coffee Shops,CAD CHECKING,
1946,13-Sep-09,,-1.94,Fast Food,CAD CHECKING,
1947,13-Sep-09,,-15,Restaurants,CAD CHECKING,
1948,14-Sep-09,,-63.83,Clothing,CAD CHECKING,
1949,14-Sep-09,,-6.13,Coffee Shops,CAD CHECKING,
1950,15-Sep-09,,-1,Fast Food,CAD CHECKING,
1951,15-Sep-09,,1115.43,Paycheck,CAD CHECKING,
1952,16-Sep-09,,-2.69,Fast Food,CAD CHECKING,
1953,16-Sep-09,,-7.45,Groceries,CAD CHECKING,
1954,17-Sep-09,,-21.03,Groceries,CAD CHECKING,
1955,17-Sep-09,,-21,Entertainment,CAD CHECKING,
1956,18-Sep-09,,-8.41,Fast Food,CAD CHECKING,
1957,18-Sep-09,,-6.42,Fast Food,CAD CHECKING,
1958,18-Sep-09,,-20,Alcohol & Bars,CAD CREDIT CARD,
1959,19-Sep-09,,-23.6,Personal Care,CAD CHECKING,
1960,19-Sep-09,,-32.19,Personal Care,CAD CHECKING,
1961,19-Sep-09,,186,Gift Received,CAD CHECKING,
1962,19-Sep-09,,-13.79,Transportation,CAD CREDIT CARD,
1963,19-Sep-09,,-7.64,Groceries,CAD CHECKING,
1964,20-Sep-09,,-5.97,Groceries,CAD CHECKING,
1965,20-Sep-09,,-18.6,Transportation,CAD CREDIT CARD,
1966,20-Sep-09,,-119.76,Utilities,CAD CHECKING,
1967,21-Sep-09,,-9.6,Coffee Shops,CAD CHECKING,
1968,21-Sep-09,,-9.05,Groceries,CAD CHECKING,
1969,21-Sep-09,,-20.3,Transportation,CAD CREDIT CARD,
1970,21-Sep-09,,-3.07,Fast Food,CAD CHECKING,
1971,21-Sep-09,,-20.67,Alcohol & Bars,CAD CHECKING,
1972,22-Sep-09,,-64,Health & Fitness,CAD CHECKING,
1973,22-Sep-09,,-10.46,Transportation,CAD CREDIT CARD,
1974,22-Sep-09,,-4.93,Coffee Shops,CAD CHECKING,
1975,22-Sep-09,,-825.24,Credit Card Payment,CAD CHECKING,
1976,22-Sep-09,,-4.6,Coffee Shops,CAD CHECKING,
1977,22-Sep-09,,-5.1,Fast Food,CAD CHECKING,
1978,23-Sep-09,,-9.5,Fast Food,CAD CHECKING,
1979,23-Sep-09,,-6.04,Coffee Shops,CAD CHECKING,
1980,23-Sep-09,,-28.56,Utilities,CAD CHECKING,
1981,23-Sep-09,,-16.71,Bank Fee,CAD CREDIT CARD,
1982,23-Sep-09,,103.5,Mortgage & Rent,CAD CHECKING,
1983,24-Sep-09,,-1.28,Fast Food,CAD CHECKING,
1984,24-Sep-09,,-11,Coffee Shops,CAD CHECKING,
1985,25-Sep-09,,510.04,Credit Card Payment,CAD CREDIT CARD,
1986,25-Sep-09,,-7.88,Groceries,CAD CHECKING,
1987,25-Sep-09,,-37,Alcohol & Bars,CAD CHECKING,
1988,25-Sep-09,,-7.42,Groceries,CAD CHECKING,
1989,26-Sep-09,,-3.64,Fast Food,CAD CHECKING,
1990,26-Sep-09,,-63,Personal Care,CAD CHECKING,
1991,26-Sep-09,,-45.13,Gas & Fuel,CAD CHECKING,
1992,27-Sep-09,,-11.3,Alcohol & Bars,CAD CHECKING,
1993,27-Sep-09,,-10.4,Restaurants,CAD CHECKING,
1994,27-Sep-09,,-11.5,Coffee Shops,CAD CHECKING,
1995,28-Sep-09,,-1.85,Fast Food,CAD CHECKING,
1996,28-Sep-09,,-2,Fast Food,CAD CHECKING,
1997,28-Sep-09,,-27.27,Groceries,CAD CHECKING,
1998,29-Sep-09,,-11.73,Coffee Shops,CAD CHECKING,
1999,29-Sep-09,,-4.19,Fast Food,CAD CHECKING,
2000,30-Sep-09,,2.37,Interest Income,CAD TFSA,
2001,30-Sep-09,,-2.14,Entertainment,CAD CHECKING,
2002,30-Sep-09,,-1.81,Fast Food,CAD CHECKING,
2003,1-Oct-09,,-7.27,Fast Food,CAD CHECKING,
2004,1-Oct-09,,-33,Restaurants,CAD CHECKING,
2005,2-Oct-09,,1083.67,Paycheck,CAD CHECKING,
2006,2-Oct-09,,-15.91,Alcohol & Bars,CAD CHECKING,
2007,2-Oct-09,,-47.53,Groceries,CAD CHECKING,
2008,2-Oct-09,,-1.91,Groceries,CAD CHECKING,
2009,2-Oct-09,,-38.23,Gas & Fuel,CAD CHECKING,
2010,3-Oct-09,,-11.87,Groceries,CAD CHECKING,
2011,5-Oct-09,,-22.35,Groceries,CAD CHECKING,
2012,5-Oct-09,,-3.3,Fast Food,CAD CHECKING,
2013,6-Oct-09,,-14.4,Groceries,CAD CHECKING,
2014,6-Oct-09,,-175,Entertainment,CAD CREDIT CARD,
2015,6-Oct-09,,-2.54,Fast Food,CAD CHECKING,
2016,7-Oct-09,,-7.44,Groceries,CAD CHECKING,
2017,7-Oct-09,,-10.1,Coffee Shops,CAD CHECKING,
2018,7-Oct-09,,-5.03,Fast Food,CAD CHECKING,
2019,7-Oct-09,,-186.7,Travel,CAD CHECKING,
2020,7-Oct-09,,-11.81,Alcohol & Bars,CAD CHECKING,
2021,8-Oct-09,,-25,Licenses,CAD CHECKING,
2022,8-Oct-09,,-30.46,Restaurants,CAD CHECKING,
2023,8-Oct-09,,-6,Fast Food,CAD CHECKING,
2024,8-Oct-09,,-26,Gas & Fuel,CAD CHECKING,
2025,9-Oct-09,,-11.41,Groceries,CAD CHECKING,
2026,10-Oct-09,,-26.07,Coffee Shops,CAD CHECKING,
2027,10-Oct-09,,-10.7,Coffee Shops,CAD CHECKING,
2028,10-Oct-09,,-1.84,Fast Food,CAD CHECKING,
2029,10-Oct-09,,-41.77,Restaurants,CAD CHECKING,
2030,11-Oct-09,,-40.64,Electronics & Software,CAD CHECKING,
2031,13-Oct-09,,-115.19,Groceries,CAD CHECKING,
2032,13-Oct-09,,-2.75,Fast Food,CAD CHECKING,
